GENE,ENSGID,ENTREZ,Synonyms,GENE_description,HGNC,Chromosome,OMIM ID(supplied by OMIM)
IFI27L1,ENSG00000165948,122509,,interferon alpha inducible protein 27 like 1,HGNC:19754,14q32.12,611320
IFI27L2,ENSG00000119632,83982,TLH29,interferon alpha inducible protein 27 like 2,HGNC:19753,14q32.12,611319
IFI30,ENSG00000216490,10437,"IFI-30, GILT, IP30, MGC32056, IP-30",IFI30 lysosomal thiol reductase,HGNC:5398,19p13.11,604664
IFI35,ENSG00000068079,3430,IFP35,interferon induced protein 35,HGNC:5399,17q21.31,600735
IFI44,ENSG00000137965,10561,"MTAP44, p44, TLDC5",interferon induced protein 44,HGNC:16938,1p31.1,610468
IFI44L,ENSG00000137959,10964,GS3686,interferon induced protein 44 like,HGNC:17817,1p31.1,613975
IFI6,ENSG00000126709,2537,"IFI616, FAM14C, 6-16, IFI-6-16",interferon alpha inducible protein 6,HGNC:4054,1p35.3,147572
IFIH1,ENSG00000115267,64135,"MDA-5, Hlcd, MDA5, IDDM19",interferon induced with helicase C domain 1,HGNC:18873,2q24.2,606951
IFIT1,ENSG00000185745,3434,GARG-16,interferon induced protein with tetratricopeptide repeats 1,HGNC:5407,10q23.31,147690
IFIT1B,ENSG00000204010,439996,bA149I23.6,interferon induced protein with tetratricopeptide repeats 1B,HGNC:23442,10q23.31,
IFIT2,ENSG00000119922,3433,"IFI-54, ISG-54K, cig42, GARG-39",interferon induced protein with tetratricopeptide repeats 2,HGNC:5409,10q23.31,147040
IFIT3,ENSG00000119917,3437,"ISG60, RIG-G, CIG-49, IFI60, GARG-49, IRG2",interferon induced protein with tetratricopeptide repeats 3,HGNC:5411,10q23.31,604650
IFIT5,ENSG00000152778,24138,RI58,interferon induced protein with tetratricopeptide repeats 5,HGNC:13328,10q23.31,616135
IFITM1,ENSG00000185885,8519,"9-27, CD225, DSPA2a",interferon induced transmembrane protein 1,HGNC:5412,11p15.5,604456
IFITM10,ENSG00000244242,402778,DSPA3,interferon induced transmembrane protein 10,HGNC:40022,11p15.5,
IFITM2,ENSG00000185201,10581,"1-8D, DSPA2c",interferon induced transmembrane protein 2,HGNC:5413,11p15.5,605578
IFITM3,ENSG00000142089,10410,"1-8U, DSPA2b",interferon induced transmembrane protein 3,HGNC:5414,11p15.5,605579
IFITM5,ENSG00000206013,387733,"fragilis4, Hrmp1, BRIL, DSPA1",interferon induced transmembrane protein 5,HGNC:16644,11p15.5,614757
IFNA1,ENSG00000197919,3439,"IFNA@, IFL, IFN, IFN-ALPHA, IFNA13, IFN-alphaD",interferon alpha 1,HGNC:5417,9p21.3,147660
IFNA10,ENSG00000186803,3446,IFN-alphaC,interferon alpha 10,HGNC:5418,9p21.3,147577
IFNA13,ENSG00000233816,3447,,interferon alpha 13,HGNC:5419,9p21.3,147578
IFNA14,ENSG00000228083,3448,"LEIF2H, IFN-alphaH",interferon alpha 14,HGNC:5420,9p21.3,147579
IFNA16,ENSG00000147885,3449,IFN-alphaO,interferon alpha 16,HGNC:5421,9p21.3,147580
IFNA17,ENSG00000234829,3451,"LEIF2C1, IFN-alphaI",interferon alpha 17,HGNC:5422,9p21.3,147583
IFNA2,ENSG00000188379,3440,"IFNA, IFN-alphaA",interferon alpha 2,HGNC:5423,9p21.3,147562
IFNA21,ENSG00000137080,3452,IFN-alphaI,interferon alpha 21,HGNC:5424,9p21.3,147584
IFNA4,ENSG00000236637,3441,"MGC142200, IFN-alpha4a",interferon alpha 4,HGNC:5425,9p21.3,147564
IFNA5,ENSG00000147873,3442,IFN-alphaG,interferon alpha 5,HGNC:5426,9p21.3,147565
IFNA6,ENSG00000120235,3443,IFN-alphaK,interferon alpha 6,HGNC:5427,9p21.3,147566
IFNA7,ENSG00000214042,3444,"IFNA-J, IFN-alphaJ",interferon alpha 7,HGNC:5428,9p21.3,147567
IFNA8,ENSG00000120242,3445,IFN-alphaB,interferon alpha 8,HGNC:5429,9p21.3,147568
IFNAR1,ENSG00000142166,3454,IFRC,interferon alpha and beta receptor subunit 1,HGNC:5432,21q22.11,107450
IFNAR2,ENSG00000159110,3455,,interferon alpha and beta receptor subunit 2,HGNC:5433,21q22.11,602376
IFNB1,ENSG00000171855,3456,"IFB, IFF",interferon beta 1,HGNC:5434,9p21.3,147640
IFNE,ENSG00000184995,338376,IFNE1,interferon epsilon,HGNC:18163,9p21.3,615223
IFNG,ENSG00000111537,3458,,interferon gamma,HGNC:5438,12q15,147570
IFNGR1,ENSG00000027697,3459,CD119,interferon gamma receptor 1,HGNC:5439,6q23.3,107470
IFNGR2,ENSG00000159128,3460,AF-1,interferon gamma receptor 2,HGNC:5440,21q22.11,147569
IFNK,ENSG00000147896,56832,,interferon kappa,HGNC:21714,9p21.2,615326
IFNL1,ENSG00000182393,282618,IL-29,interferon lambda 1,HGNC:18363,19q13.2,607403
IFNL2,ENSG00000183709,282616,IL-28A,interferon lambda 2,HGNC:18364,19q13.2,607401
IFNL3,ENSG00000197110,282617,"IL-28B, IL28C",interferon lambda 3,HGNC:18365,19q13.2,607402
IFNL4,ENSG00000272395,101180976,IFNAN,interferon lambda 4 (gene/pseudogene),HGNC:44480,19q13.2,615090
IFNLR1,ENSG00000185436,163702,"CRF2/12, IFNLR, IL-28R1",interferon lambda receptor 1,HGNC:18584,1p36.11,607404
IFNW1,ENSG00000177047,3467,,interferon omega 1,HGNC:5448,9p21.3,147553
IFRD1,ENSG00000006652,3475,"PC4, TIS7",interferon related developmental regulator 1,HGNC:5456,7q31.1,603502
IFRD2,ENSG00000214706,7866,"SKMc15, SM15, IFNRP",interferon related developmental regulator 2,HGNC:5457,3p21.31,602725
IFT122,ENSG00000163913,55764,"WDR140, WDR10p, SPG, FAP80",intraflagellar transport 122,HGNC:13556,3q21.3-q22.1,606045
IFT140,ENSG00000187535,9742,"gs114, KIAA0590",intraflagellar transport 140,HGNC:29077,16p13.3,614620
IFT172,ENSG00000138002,26160,"SLB, wim, osm-1, NPHP17, BBS20",intraflagellar transport 172,HGNC:30391,2p23.3,607386
IFT20,nan,90410,,intraflagellar transport 20,HGNC:30989,17q11.2,614394
IFT22,ENSG00000128581,64792,"FLJ14117, FLJ13225, DKFZp761N0823, FAP9",intraflagellar transport 22,HGNC:21895,7q22.1,
IFT27,ENSG00000100360,11020,"RAYL, BBS19, FAP156",intraflagellar transport 27,HGNC:18626,22q12.3,615870
IFT43,nan,112752,"FLJ32173, MGC16028",intraflagellar transport 43,HGNC:29669,14q24.3,614068
IFT46,ENSG00000118096,56912,"C11orf2, FLJ21827, CFAP32",intraflagellar transport 46,HGNC:26146,11q23.3,
IFT52,ENSG00000101052,51098,"CGI-53, NGD5, dJ1028D15.1, NGD2",intraflagellar transport 52,HGNC:15901,20q13.12,617094
IFT57,ENSG00000114446,55081,"FLJ10147, HIPPI, MHS4R2",intraflagellar transport 57,HGNC:17367,3q13.12-q13.13,606621
IFT74,ENSG00000096872,80173,"CMG1, CMG-1, FLJ22621",intraflagellar transport 74,HGNC:21424,9p21.2,608040
IFT80,ENSG00000068885,57560,"KIAA1374, FAP167",intraflagellar transport 80,HGNC:29262,3q25.33,611177
IFT81,ENSG00000122970,28981,"CDV-1R, MGC4027",intraflagellar transport 81,HGNC:14313,12q24.11,605489
IFT88,ENSG00000032742,8100,"hTg737, Tg737, D13S1056E, MGC26259",intraflagellar transport 88,HGNC:20606,13q12.11,600595
IFTAP,ENSG00000166352,119710,"FLJ38678, HEPIS, NWC",intraflagellar transport associated protein,HGNC:25142,11p12,
IGBP1,ENSG00000089289,3476,ë±4,immunoglobulin binding protein 1,HGNC:5461,Xq13.1,300139
IGDCC3,ENSG00000174498,9543,HsT18880,immunoglobulin superfamily DCC subclass member 3,HGNC:9700,15q22.31,604184
IGDCC4,ENSG00000103742,57722,"NOPE, LOC57722",immunoglobulin superfamily DCC subclass member 4,HGNC:13770,15q22.31,616810
IGF1,ENSG00000017427,3479,"IGF1A, IGFI, IGF-I, IGF",insulin like growth factor 1,HGNC:5464,12q23.2,147440
IGF1R,ENSG00000140443,3480,"JTK13, CD221, IGFIR, MGC18216, IGFR",insulin like growth factor 1 receptor,HGNC:5465,15q26.3,147370
IGF2,ENSG00000167244,3481,"FLJ44734, IGF-II",insulin like growth factor 2,HGNC:5466,11p15.5,147470
IGF2BP1,ENSG00000159217,10642,IMP-1,insulin like growth factor 2 mRNA binding protein 1,HGNC:28866,17q21.32,608288
IGF2BP2,ENSG00000073792,10644,IMP-2,insulin like growth factor 2 mRNA binding protein 2,HGNC:28867,3q27.2,608289
IGF2BP3,ENSG00000136231,10643,"IMP-3, CT98, IMP3",insulin like growth factor 2 mRNA binding protein 3,HGNC:28868,7p15.3,608259
IGF2R,ENSG00000197081,3482,"CD222, MPRI, MPR1, CIMPR, M6P-R, CI-M6PR, CI-MPR, MPR300",insulin like growth factor 2 receptor,HGNC:5467,6q25.3,147280
IGFALS,ENSG00000099769,3483,ALS,insulin like growth factor binding protein acid labile subunit,HGNC:5468,16p13.3,601489
IGFBP1,ENSG00000146678,3484,"IGF-BP25, AFBP, hIGFBP-1, PP12",insulin like growth factor binding protein 1,HGNC:5469,7p12.3,146730
IGFBP2,ENSG00000115457,3485,,insulin like growth factor binding protein 2,HGNC:5471,2q35,146731
IGFBP3,ENSG00000146674,3486,"IBP3, BP-53",insulin like growth factor binding protein 3,HGNC:5472,7p12.3,146732
IGFBP4,ENSG00000141753,3487,"IBP4, BP-4, HT29-IGFBP, IGFBP-4",insulin like growth factor binding protein 4,HGNC:5473,17q21.2,146733
IGFBP5,ENSG00000115461,3488,,insulin like growth factor binding protein 5,HGNC:5474,2q35,146734
IGFBP6,ENSG00000167779,3489,,insulin like growth factor binding protein 6,HGNC:5475,12q13.13,146735
IGFBP7,ENSG00000163453,3490,"MAC25, IGFBP-7, PSF, FSTL2",insulin like growth factor binding protein 7,HGNC:5476,4q12,602867
IGFBPL1,ENSG00000137142,347252,bA113O24.1,insulin like growth factor binding protein like 1,HGNC:20081,9p13.1,610413
IGFL1,ENSG00000188293,374918,UNQ644,IGF like family member 1,HGNC:24093,19q13.32,610544
IGFL2,ENSG00000204866,147920,UNQ645,IGF like family member 2,HGNC:32929,19q13.32,610545
IGFL3,ENSG00000188624,388555,UNQ483,IGF like family member 3,HGNC:32930,19q13.32,610546
IGFL4,nan,444882,,IGF like family member 4,HGNC:32931,19q13.32,610547
IGFLR1,ENSG00000126246,79713,FLJ22573,IGF like family receptor 1,HGNC:23620,19q13.12,614143
IGFN1,ENSG00000163395,91156,"DKFZp434B1231, EEF1A2BP1",immunoglobulin like and fibronectin type III domain containing 1,HGNC:24607,1q32.1,617309
IGH,nan,3492,,immunoglobulin heavy locus,HGNC:5477,14q32.33,"146910, 147010, 147070"
IGHMBP2,ENSG00000132740,3508,"ZFAND7, SMUBP2, CATF1, SMARD1, HCSA, HMN6, CMT2S",immunoglobulin mu DNA binding protein 2,HGNC:5542,11q13.3,600502
IGIP,ENSG00000182700,492311,LOC492311,IgA inducing protein,HGNC:33847,5q31.3,
IGK,nan,50802,,immunoglobulin kappa locus,HGNC:5715,2p11.2,
IGL,nan,3535,,immunoglobulin lambda locus,HGNC:5853,22q11.2,
IGLL1,ENSG00000128322,3543,"IGVPB, IGL5, 14.1, CD179B",immunoglobulin lambda like polypeptide 1,HGNC:5870,22q11.23,146770
IGLL5,ENSG00000254709,100423062,,immunoglobulin lambda like polypeptide 5,HGNC:38476,22q11.22,
IGLON5,ENSG00000142549,402665,LOC402665,IgLON family member 5,HGNC:34550,19q13.41,
IGSF1,ENSG00000147255,3547,"KIAA0364, IGDC1, IGCD1, INHBP, MGC75490, PGSF2",immunoglobulin superfamily member 1,HGNC:5948,Xq25,300137
IGSF10,ENSG00000152580,285313,"FLJ25972, CMF608",immunoglobulin superfamily member 10,HGNC:26384,3q25.1,617351
IGSF11,ENSG00000144847,152404,"BT-IgSF, MGC35227, Igsf13, VSIG3, CT119",immunoglobulin superfamily member 11,HGNC:16669,3q13.32,608351
IGSF21,ENSG00000117154,84966,"MGC15730, RP11-121A23.1",immunoglobin superfamily member 21,HGNC:28246,1p36.13,
IGSF22,ENSG00000179057,283284,"FLJ37794, IGFN2",immunoglobulin superfamily member 22,HGNC:26750,11p15.1,
IGSF23,ENSG00000216588,147710,,immunoglobulin superfamily member 23,HGNC:40040,19q13.31,
IGSF3,ENSG00000143061,3321,"V8, EWI-3, MGC117164",immunoglobulin superfamily member 3,HGNC:5950,1p13.1,603491
IGSF5,ENSG00000183067,150084,JAM4,immunoglobulin superfamily member 5,HGNC:5952,21q22.2,610638
IGSF6,ENSG00000140749,10261,DORA,immunoglobulin superfamily member 6,HGNC:5953,16p12.2,606222
IGSF8,ENSG00000162729,93185,"CD81P3, EWI2, PGRL, CD316",immunoglobulin superfamily member 8,HGNC:17813,1q23.2,606644
IGSF9,ENSG00000085552,57549,"KIAA1355, Nrt1, IGSF9A",immunoglobulin superfamily member 9,HGNC:18132,1q23.2,609738
IGSF9B,nan,22997,"KIAA1030, LINC00947, LOC283174",immunoglobulin superfamily member 9B,HGNC:32326,11q25,613773
IHH,ENSG00000163501,3549,"HHG2, BDA1",Indian hedgehog signaling molecule,HGNC:5956,2q35,600726
IHO1,ENSG00000173421,339834,"FLJ25320, CT74, LELA1",interactor of HORMAD1 1,HGNC:27945,3p21.31,
IK,ENSG00000113141,3550,"RED, RER",IK cytokine,HGNC:5958,5q31.3,600549
IKBIP,ENSG00000166130,121457,"FLJ31051, IKIP",IKBKB interacting protein,HGNC:26430,12q23.1,609861
IKBKB,ENSG00000104365,3551,"IKK2, NFKBIKB, IKK-beta, IKKB",inhibitor of nuclear factor kappa B kinase subunit beta,HGNC:5960,8p11.21,603258
IKBKE,ENSG00000263528,9641,"IKKE, IKK-i, KIAA0151",inhibitor of nuclear factor kappa B kinase subunit epsilon,HGNC:14552,1q32.1,605048
IKBKG,ENSG00000269335,8517,"IKK-gamma, NEMO, Fip3p, FIP-3, FIP3, ZC2HC9",inhibitor of nuclear factor kappa B kinase regulatory subunit gamma,HGNC:5961,Xq28,300248
IKZF1,ENSG00000185811,10320,"hIk-1, LyF-1, Hs.54452, IKAROS, PPP1R92",IKAROS family zinc finger 1,HGNC:13176,7p12.2,603023
IKZF2,ENSG00000030419,22807,Helios,IKAROS family zinc finger 2,HGNC:13177,2q34,606234
IKZF3,ENSG00000161405,22806,Aiolos,IKAROS family zinc finger 3,HGNC:13178,17q12-q21.1,606221
IKZF4,ENSG00000123411,64375,Eos,IKAROS family zinc finger 4,HGNC:13179,12q13.2,606239
IKZF5,ENSG00000095574,64376,"Pegasus, FLJ22973",IKAROS family zinc finger 5,HGNC:14283,10q26.13,606238
IL10,ENSG00000136634,3586,"CSIF, TGIF, IL10A, IL-10",interleukin 10,HGNC:5962,1q32.1,124092
IL10RA,ENSG00000110324,3587,"HIL-10R, CDW210A, CD210a, CD210",interleukin 10 receptor subunit alpha,HGNC:5964,11q23.3,146933
IL10RB,ENSG00000243646,3588,"CRF2-4, CDW210B, IL-10R2",interleukin 10 receptor subunit beta,HGNC:5965,21q22.11,123889
IL11,ENSG00000095752,3589,"IL-11, AGIF",interleukin 11,HGNC:5966,19q13.42,147681
IL11RA,ENSG00000137070,3590,,interleukin 11 receptor subunit alpha,HGNC:5967,9p13.3,600939
IL12A,ENSG00000168811,3592,"CLMF, IL-12A, p35, NFSK",interleukin 12A,HGNC:5969,3q25.33,161560
IL12B,ENSG00000113302,3593,"CLMF, IL-12B, NKSF, CLMF2",interleukin 12B,HGNC:5970,5q33.3,161561
IL12RB1,ENSG00000096996,3594,CD212,interleukin 12 receptor subunit beta 1,HGNC:5971,19p13.11,601604
IL12RB2,ENSG00000081985,3595,,interleukin 12 receptor subunit beta 2,HGNC:5972,1p31.3,601642
IL13,ENSG00000169194,3596,"P600, IL-13, ALRH, BHR1, MGC116786, MGC116788, MGC116789",interleukin 13,HGNC:5973,5q31.1,147683
IL13RA1,ENSG00000131724,3597,"IL-13Ra, NR4, CD213a1",interleukin 13 receptor subunit alpha 1,HGNC:5974,Xq24,300119
IL13RA2,ENSG00000123496,3598,"IL-13R, IL13BP, CD213a2, CT19",interleukin 13 receptor subunit alpha 2,HGNC:5975,Xq23,300130
IL15,ENSG00000164136,3600,"IL-15, MGC9721",interleukin 15,HGNC:5977,4q31.21,600554
IL15RA,ENSG00000134470,3601,"CD215, IL-15RA",interleukin 15 receptor subunit alpha,HGNC:5978,10p15.1,601070
IL16,ENSG00000172349,3603,"LCF, IL-16, prIL-16, HsT19289, FLJ42735, FLJ16806",interleukin 16,HGNC:5980,15q25.1,603035
IL17A,ENSG00000112115,3605,"IL-17A, IL-17",interleukin 17A,HGNC:5981,6p12.2,603149
IL17B,ENSG00000127743,27190,"IL-17B, ZCYTO7, IL-20, MGC138900, MGC138901, NIRF",interleukin 17B,HGNC:5982,5q32,604627
IL17C,ENSG00000124391,27189,"IL-17C, CX2, IL-21, MGC126884, MGC138401",interleukin 17C,HGNC:5983,16q24.2,604628
IL17D,ENSG00000172458,53342,"IL-27, IL-17D, IL27, FLJ30846",interleukin 17D,HGNC:5984,13q12.11,607587
IL17F,ENSG00000112116,112744,"IL-17F, ML-1, ML1",interleukin 17F,HGNC:16404,6p12.2,606496
IL17RA,ENSG00000177663,23765,"hIL-17R, IL-17RA, CDw217, CD217",interleukin 17 receptor A,HGNC:5985,22q11.1,605461
IL17RB,ENSG00000056736,55540,"IL17RH1, EVI27, CRL4",interleukin 17 receptor B,HGNC:18015,3p21.1,605458
IL17RC,ENSG00000163702,84818,IL17-RL,interleukin 17 receptor C,HGNC:18358,3p25.3,610925
IL17RD,ENSG00000144730,54756,"SEF, IL17RLM, FLJ35755, IL-17RD",interleukin 17 receptor D,HGNC:17616,3p14.3,606807
IL17RE,ENSG00000163701,132014,FLJ23658,interleukin 17 receptor E,HGNC:18439,3p25.3,614995
IL17REL,ENSG00000188263,400935,FLJ41993,interleukin 17 receptor E like,HGNC:33808,22q13.33,613414
IL18,ENSG00000150782,3606,"IGIF, IL1F4, IL-1g, IL-18",interleukin 18,HGNC:5986,11q23.1,600953
IL18BP,ENSG00000137496,10068,IL18BPa,interleukin 18 binding protein,HGNC:5987,11q13.4,604113
IL18R1,ENSG00000115604,8809,"IL1RRP, IL-1Rrp, CD218a",interleukin 18 receptor 1,HGNC:5988,2q12.1,604494
IL18RAP,ENSG00000115607,8807,"AcPL, CD218b",interleukin 18 receptor accessory protein,HGNC:5989,2q12.1,604509
IL19,ENSG00000142224,29949,"IL-19, MDA1, ZMDA1, IL-10C, NG.1",interleukin 19,HGNC:5990,1q32.1,605687
IL1A,ENSG00000115008,3552,"IL1F1, IL-1A, IL1-ALPHA",interleukin 1 alpha,HGNC:5991,2q14.1,147760
IL1B,ENSG00000125538,3553,"IL1F2, IL-1B, IL1-BETA",interleukin 1 beta,HGNC:5992,2q14.1,147720
IL1F10,ENSG00000136697,84639,"FKSG75, IL-1HY2, IL-1F10, IL1-theta, MGC11983, MGC119832, MGC119833",interleukin 1 family member 10,HGNC:15552,2q14.1,615296
IL1R1,ENSG00000115594,3554,"D2S1473, CD121A",interleukin 1 receptor type 1,HGNC:5993,2q11.2-q12.1,147810
IL1R2,ENSG00000115590,7850,CD121b,interleukin 1 receptor type 2,HGNC:5994,2q11.2,147811
IL1RAP,ENSG00000196083,3556,"IL-1RAcP, IL1R3, C3orf13",interleukin 1 receptor accessory protein,HGNC:5995,3q28,602626
IL1RAPL1,ENSG00000169306,11141,"OPHN4, TIGIRR-2, IL1R8",interleukin 1 receptor accessory protein like 1,HGNC:5996,Xp21.3-p21.2,300206
IL1RAPL2,ENSG00000189108,26280,"IL-1R9, TIGIRR-1, IL1RAPL-2, IL1R9",interleukin 1 receptor accessory protein like 2,HGNC:5997,Xq22.3,300277
IL1RL1,ENSG00000115602,9173,"ST2, FIT-1, ST2L, ST2V, DER4, T1, IL33R",interleukin 1 receptor like 1,HGNC:5998,2q12.1,601203
IL1RL2,ENSG00000115598,8808,"IL1R-rp2, IL1RRP2",interleukin 1 receptor like 2,HGNC:5999,2q12.1,604512
IL1RN,ENSG00000136689,3557,"IL1RA, ICIL-1RA, IL1F3, IRAP, IL-1RN, MGC10430",interleukin 1 receptor antagonist,HGNC:6000,2q14.1,147679
IL2,ENSG00000109471,3558,"IL-2, TCGF",interleukin 2,HGNC:6001,4q27,147680
IL20,ENSG00000162891,50604,"ZCYTO10, IL10D, IL-20",interleukin 20,HGNC:6002,1q32.1,605619
IL20RA,ENSG00000016402,53832,"ZCYTOR7, IL-20R1",interleukin 20 receptor subunit alpha,HGNC:6003,6q23.3,605620
IL20RB,ENSG00000174564,53833,"DIRS1, IL-20R2, MGC34923",interleukin 20 receptor subunit beta,HGNC:6004,3q22.3,605621
IL21,ENSG00000138684,59067,"Za11, IL-21",interleukin 21,HGNC:6005,4q27,605384
IL21R,ENSG00000103522,50615,CD360,interleukin 21 receptor,HGNC:6006,16p12.1,605383
IL22,ENSG00000127318,50616,"ILTIF, IL-21, zcyto18, IL-TIF, IL-D110, TIFa, TIFIL-23, IL-22, MGC79382, MGC79384",interleukin 22,HGNC:14900,12q15,605330
IL22RA1,ENSG00000142677,58985,CRF2-9,interleukin 22 receptor subunit alpha 1,HGNC:13700,1p36.11,605457
IL22RA2,ENSG00000164485,116379,"CRF2-S1, IL-22BP",interleukin 22 receptor subunit alpha 2,HGNC:14901,6q23.3,606648
IL23A,ENSG00000110944,51561,"SGRF, IL23P19, IL-23, IL-23A, P19",interleukin 23 subunit alpha,HGNC:15488,12q13.3,605580
IL23R,ENSG00000162594,149233,IL-23R,interleukin 23 receptor,HGNC:19100,1p31.3,607562
IL24,ENSG00000162892,11009,"mda-7, IL10B, Mob-5, C49A, FISP, IL-24",interleukin 24,HGNC:11346,1q32.1,604136
IL25,ENSG00000166090,,"IL-25, IL-17E",interleukin 25,HGNC:13765,14q11.2,605658
IL26,ENSG00000111536,55801,"AK155, IL-26",interleukin 26,HGNC:17119,12q15,605679
IL27,ENSG00000197272,246778,"IL-27, p28, IL27p28, IL-27A, IL27A, MGC71873",interleukin 27,HGNC:19157,16p12.1-p11.2,608273
IL27RA,ENSG00000104998,9466,"WSX-1, TCCR, CRL1, WSX1, zcytor1, IL-27R",interleukin 27 receptor subunit alpha,HGNC:17290,19p13.12,605350
IL2RA,ENSG00000134460,3559,CD25,interleukin 2 receptor subunit alpha,HGNC:6008,10p15.1,147730
IL2RB,ENSG00000100385,3560,CD122,interleukin 2 receptor subunit beta,HGNC:6009,22q12.3,146710
IL2RG,ENSG00000147168,3561,CD132,interleukin 2 receptor subunit gamma,HGNC:6010,Xq13.1,308380
IL3,ENSG00000164399,3562,"IL-3, MULTI-CSF, MCGF, MGC79398, MGC79399",interleukin 3,HGNC:6011,5q31.1,147740
IL31,ENSG00000204671,386653,IL-31,interleukin 31,HGNC:19372,12q24.31,609509
IL31RA,ENSG00000164509,133396,"CRL3, GLM-R, CRL, Glmr, IL-31RA",interleukin 31 receptor A,HGNC:18969,5q11.2,609510
IL32,ENSG00000008517,9235,"NK4, TAIF, TAIFb, TAIFd",interleukin 32,HGNC:16830,16p13.3,606001
IL33,ENSG00000137033,90865,"DVS27, DKFZp586H0523, NF-HEV, IL1F11",interleukin 33,HGNC:16028,9p24.1,608678
IL34,ENSG00000157368,146433,"MGC34647, IL-34",interleukin 34,HGNC:28529,16q22.1,612081
IL36A,ENSG00000136694,27179,"FIL1, FIL1E, IL-1F6, IL1(EPSILON), MGC129553, MGC129552",interleukin 36 alpha,HGNC:15562,2q14.1,605509
IL36B,ENSG00000136696,27177,"FIL1, IL-1H2, IL-1F8, FILI-(ETA), IL1-ETA, IL1H2, MGC126880, MGC126882",interleukin 36 beta,HGNC:15564,2q14.1,605508
IL36G,ENSG00000136688,56300,"IL-1H1, IL-1RP2, IL-1F9, IL1H1, IL1E",interleukin 36 gamma,HGNC:15741,2q14.1,605542
IL36RN,ENSG00000136695,26525,"FIL1, FIL1(DELTA), FIL1D, IL1HY1, IL1RP3, IL1L1, IL-1F5, IL36RA, MGC29840",interleukin 36 receptor antagonist,HGNC:15561,2q14.1,605507
IL37,ENSG00000125571,27178,"FIL1, FIL1Z, FIL1(ZETA), IL-1H4, IL-1RP1, IL-1F7",interleukin 37,HGNC:15563,2q14.1,605510
IL3RA,ENSG00000185291,3563,CD123,interleukin 3 receptor subunit alpha,HGNC:6012,Xp22.3 and Yp13.3,"308385, 430000"
IL4,ENSG00000113520,3565,"BSF1, IL-4, BCGF1, BCGF-1, MGC79402",interleukin 4,HGNC:6014,5q31.1,147780
IL4I1,ENSG00000104951,259307,FIG1,interleukin 4 induced 1,HGNC:19094,19q13.33,609742
IL4R,ENSG00000077238,3566,CD124,interleukin 4 receptor,HGNC:6015,16p12.1,147781
IL5,ENSG00000113525,3567,"IL-5, EDF, TRF",interleukin 5,HGNC:6016,5q31.1,147850
IL5RA,ENSG00000091181,3568,"CDw125, CD125",interleukin 5 receptor subunit alpha,HGNC:6017,3p26.2,147851
IL6,ENSG00000136244,3569,"IL-6, BSF2, HGF, HSF",interleukin 6,HGNC:6018,7p15.3,147620
IL6R,ENSG00000160712,3570,CD126,interleukin 6 receptor,HGNC:6019,1q21.3,147880
IL6ST,ENSG00000134352,3572,"GP130, CD130, sGP130",interleukin 6 signal transducer,HGNC:6021,5q11.2,600694
IL7,ENSG00000104432,3574,IL-7,interleukin 7,HGNC:6023,8q21.13,146660
IL7R,ENSG00000168685,3575,"CD127, IL7RA",interleukin 7 receptor,HGNC:6024,5p13.2,146661
IL9,ENSG00000145839,3578,"IL-9, HP40, P40",interleukin 9,HGNC:6029,5q31.1,146931
IL9R,ENSG00000124334,3581,CD129,interleukin 9 receptor,HGNC:6030,Xq28 and Yq12,300007
ILDR1,ENSG00000145103,286676,MGC50831,immunoglobulin like domain containing receptor 1,HGNC:28741,3q13.33,609739
ILDR2,ENSG00000143195,387597,,immunoglobulin like domain containing receptor 2,HGNC:18131,1q24.1,618081
ILF2,ENSG00000143621,3608,NF45,interleukin enhancer binding factor 2,HGNC:6037,1q21.3,603181
ILF3,ENSG00000129351,3609,"NF90, MPHOSPH4, MPP4, NFAR-1, NFAR110, NFAR-2, TCP110, NF110, DRBP76, NFAR90, NF110b, NF90a, NF90c, NF90ctv, MPP4110",interleukin enhancer binding factor 3,HGNC:6038,19p13.2,603182
ILK,ENSG00000166333,3611,,integrin linked kinase,HGNC:6040,11p15.4,602366
ILKAP,ENSG00000132323,80895,"DKFZP434J2031, FLJ10181, PPM1O",ILK associated serine/threonine phosphatase,HGNC:15566,2q37.3,
ILRUN,ENSG00000196821,64771,"FLJ22195, dJ391O22.4",inflammation and lipid regulator with UBA-like and NBR1-like domains,HGNC:21215,6p21.31,612217
ILVBL,ENSG00000105135,10994,"209L8, AHAS, ILV2H, MGC1269, FLJ39061, MGC19535, HACL1L",ilvB acetolactate synthase like,HGNC:6041,19p13.12,605770
IMMP1L,ENSG00000148950,196294,FLJ25059,inner mitochondrial membrane peptidase subunit 1,HGNC:26317,11p13,612323
IMMP2L,ENSG00000184903,83943,IMP2,inner mitochondrial membrane peptidase subunit 2,HGNC:14598,7q31.1,605977
IMMT,ENSG00000132305,10989,"P87, P89, HMP, MINOS2, Mic60, MICOS60",inner membrane mitochondrial protein,HGNC:6047,2p11.2,600378
IMP3,ENSG00000177971,55272,"FLJ10968, BRMS2",IMP U3 small nucleolar ribonucleoprotein 3,HGNC:14497,15q24.2,612980
IMP4,ENSG00000136718,92856,"MGC19606, BXDC4",IMP U3 small nucleolar ribonucleoprotein 4,HGNC:30856,2q21.1,612981
IMPA1,ENSG00000133731,3612,,inositol monophosphatase 1,HGNC:6050,8q21.13,602064
